| Label | nr. | Gew. | Key | O/D | Mis | Max | Gem  | P  | Sd  | RSK | Rit | Rir | AR |
|-------+-----+------+-----+-----+-----+-----+------+----+-----+-----+-----+-----+----|
| 1#    | 1   | 1    |     | 0   |  16 | 4   | 3.27 | 82 | 0.82| 0.21| 36  | 28  | 79 |
| 2     | 2   | 1    |     | 0   |  69 | 4   | 3.08 | 77 | 1.22| 0.31| 44  | 33  | 79 |
| 3     | 3   | 1    |     | 0   |  56 | 4   | 2.65 | 66 | 1.18| 0.29| 38  | 28  | 79 |
| 4     | 4   | 1    |     | 2   | 332 | 4   | 1.68 | 42 | 1.26| 0.32| 46  | 35  | 78 |
| 5#    | 5   | 1    |     | 0   |  86 | 2   | 0.97 | 48 | 0.63| 0.32| 25  | 20  | 79 |
| 6     | 6   | 1    |     | 0   |  87 | 1   | 0.81 | 81 | 0.39| 0.39| 20  | 16  | 79 |
| 7     | 7   | 1    |     | 0   |  48 | 3   | 2.80 | 93 | 0.55| 0.18| 31  | 26  | 79 |
| 8     | 8   | 1    |     | 2   | 368 | 4   | 3.03 | 76 | 1.27| 0.32| 43  | 32  | 79 |
| 9#    | 9   | 1    |     | 4   | 699 | 4   | 1.87 | 47 | 1.44| 0.36| 50  | 39  | 78 |
| 10    | 10  | 1    |     | 1   | 130 | 2   | 1.80 | 90 | 0.50| 0.25| 23  | 18  | 79 |
| 11    | 11  | 1    |     | 0   |  32 | 1   | 0.91 | 91 | 0.28| 0.28| 19  | 16  | 79 |
| 12    | 12  | 1    |     | 0   |  51 | 3   | 1.60 | 53 | 1.21| 0.40| 51  | 42  | 78 |
| 13    | 13  | 1    |     | 2   | 403 | 2   | 1.02 | 51 | 0.85| 0.42| 39  | 31  | 79 |
| 14    | 14  | 1    |     | 1   | 134 | 4   | 3.68 | 92 | 0.79| 0.20| 35  | 28  | 79 |
| 15    | 15  | 1    |     | 2   | 313 | 3   | 1.99 | 66 | 0.97| 0.32| 44  | 36  | 78 |
| 16#   | 16  | 1    |     | 3   | 526 | 4   | 2.78 | 69 | 1.36| 0.34| 51  | 40  | 78 |
| 17    | 17  | 1    |     | 3   | 456 | 2   | 1.68 | 84 | 0.69| 0.35| 36  | 30  | 79 |
| 18    | 18  | 1    |     | 2   | 363 | 3   | 1.29 | 43 | 1.30| 0.43| 46  | 35  | 78 |
| 19    | 19  | 1    |     | 5   | 984 | 2   | 0.83 | 42 | 0.82| 0.41| 36  | 29  | 79 |
| 20    | 20  | 1    |     | 2   | 276 | 4   | 1.52 | 38 | 1.20| 0.30| 55  | 46  | 78 |
| 21#   | 21  | 1    |     | 1   | 262 | 2   | 1.58 | 79 | 0.69| 0.35| 34  | 28  | 79 |
| 22    | 22  | 1    |     | 4   | 642 | 3   | 1.52 | 51 | 1.10| 0.37| 51  | 43  | 78 |
| 23    | 23  | 1    |     | 3   | 490 | 3   | 1.67 | 56 | 1.14| 0.38| 45  | 36  | 78 |
| 24    | 24  | 1    |     | 15  |2739 | 4   | 0.46 | 12 | 1.03| 0.26| 46  | 37  | 78 |
| 25    | 25  | 1    |     | 11  |1973 | 4   | 1.52 | 38 | 1.34| 0.33| 57  | 47  | 78 |
